Waktu,Jumlah_Kecelakaan
2020-01-01,56.8547922357333
2020-02-01,53.8757029328111
2020-03-01,64.5418658029252
2020-04-01,70.6589602883706
2020-05-01,72.5998737565097
2020-06-01,71.2361532451271
2020-07-01,78.6476373644428
2020-08-01,68.3434835923216
2020-09-01,75.5112426814568
2020-10-01,61.1989827283293
2020-11-01,64.3018064700684
2020-12-01,66.3055897203804
2021-01-01,46.4056370490237
2021-02-01,52.192588739222
2021-03-01,55.0675455736044
2021-04-01,62.8808511819013
2021-05-01,63.7423890889739
2021-06-01,58.3250837592108
2021-07-01,66.1903044933877
2021-08-01,91.4369130325967
2021-09-01,88.7657078380566
2021-10-01,85.3593055745273
2021-11-01,95.5538806478931
2021-12-01,102.723432941278
2022-01-01,104.60360454945
2022-02-01,90.0701961430181
2022-03-01,87.201099862564
2022-04-01,75.7650604619545
2022-05-01,83.4837079897693
2022-06-01,75.7099982429513
2022-07-01,80.5104747906216
2022-08-01,82.9456545453394
2022-09-01,87.6808703462843
2022-10-01,84.2291443767254
2022-11-01,95.8255818266983
2022-12-01,91.4149566046333
